,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Latitude,-0.010687278922235172,-0.5647231209059984,0.006006731394704697,0.0007384049225656373,0.0006128514690286339,-0.0006222772169675945,0.000449132023345288,0.0019132950785695406,0.00025004904902092926,-0.001472943303305937,0.0010324405393672444
order_weekday,-0.001801374770516187,0.009078532204268464,0.7001781754905616,-0.09402116759336254,-0.00537787641669284,-0.01922686672085786,0.0005085306756244288,0.015491457617054564,0.00236388758802306,0.015924972299880834,-0.008335106006074776
Category Name__freq,0.5298722785917791,-0.00962555915939565,0.002722934213118683,0.00035086751583170703,-0.019173166566266574,-0.013702384427777018,-0.0022566987599614567,-0.008333621285853677,0.0025389533931525054,0.006095465632934698,0.23751743735944963
Product Image__freq,0.5322770124275025,-0.009756059880641365,0.0031611937033311165,0.0002006555387912958,-0.02410868876948679,0.004457761718365701,0.00031008954663423245,0.0006510588785932173,1.173065811937944e-05,0.0007284574921147435,0.21742781942872402
Product Name__freq,0.5322770124275025,-0.009756059880641366,0.0031611937033306724,0.0002006555387913999,-0.02410868876948675,0.004457761718365417,0.00031008954663425673,0.0006510588785929814,1.173065811926148e-05,0.0007284574921146984,0.21742781942872455
order_is_weekend,-0.0036439799872499436,0.008627179599675062,0.7008065420007263,-0.08868112276545427,-0.0028061362101156856,-0.015997443064964863,0.010982008325773222,0.015488142360941677,-0.008330909514436952,0.01627345336796238,0.0022946120188429803
Customer Zipcode_was_missing,-0.006231644673597925,-0.0027676069719257484,0.002783245155655257,0.0006048963824640978,-0.0006591279359089052,0.42056823115872655,0.14462463047325042,-0.3082769100677841,0.4941370723980461,0.680377486882303,0.005172909541887944
Customer Country_EE. UU.,-0.010648178034280713,-0.5833265930056054,0.007407688081030125,-0.0038007944124294766,-0.0004889404961663473,-0.0007868410099531599,0.0016221944707852406,0.00047267442027769277,-8.313688126805476e-05,-0.0020800395048392725,-0.00017796251410405486
Customer Country_Puerto Rico,0.010648178034280741,0.5833265930056055,-0.007407688081029959,0.0038007944124298513,0.0004889404961661712,0.0007868410099529881,-0.0016221944707848972,-0.0004726744202777101,8.313688126858645e-05,0.002080039504839316,0.00017796251410398894
Customer Segment_Consumer,-0.0008958407803197291,-0.0053627687769924395,0.08988705237416277,0.7013015768661576,-0.0026947905262980133,-0.00351561213188136,-0.003619724531640781,0.003990693020087963,-0.0030458256142213533,0.007611794913513737,-0.007019008430242299
Customer Segment_Corporate,0.0012096032757558225,-0.001953202141534272,-0.09258668416232438,-0.7009582807157057,0.003781087205610335,-0.0009796942405953819,0.004369598512483584,-0.008412400309772035,-0.004491010465270286,0.0017979640402358379,-0.0071888668248823225
Department Name_Book Shop,-0.06422131199863697,0.0015259693308490964,-0.010801740151640508,-0.007901784698962659,0.0010708575458997622,0.12548871600146944,-0.32469611968920287,0.7969926510798531,0.4622699461583943,0.015098267002480535,0.1591154834093074
Department Name_Discs Shop,-0.14317283411823303,0.0032116243611241234,0.032513869790994215,-0.00038012847398548034,-0.006835063867477298,0.7998017335639045,-0.03390012607275285,-0.11236389479288499,-0.172723001123517,-0.41670930287923025,0.34829269617686975
Department Name_Footwear,-0.1384503699586344,0.0022892817754564905,0.003333892755956187,0.003291043432346794,0.8740584856588285,-0.17605095210655491,-0.047154487903447076,-0.0936590646965004,0.010958940008491186,0.064903830809358,0.4126463066069777
Department Name_Health and Beauty ,-0.06085896866023033,0.0019557901533959524,-0.02209495718141993,0.0017613482362839252,0.0064566951675746834,0.09321462397767617,0.6773947512094206,0.46845926647057573,-0.42833270551225217,0.32014957546991557,0.15060115573058272
Department Name_Outdoors,-0.32357987362613205,0.006028155147930317,-0.007774613410040043,-0.0015913847202909705,-0.48297282204083636,-0.3365680436220842,-0.03310566119186219,-0.16248664041533703,0.05562094692012707,0.09229130307717094,0.7135870381205761
Shipping Mode_First Class,0.00018320811800180808,0.0031346604884838524,0.007361077192673309,0.0044955667681942655,0.03285958570829107,-0.11774186270576022,0.640437303267196,-0.043283212372954,0.5705332239015947,-0.49735027013547317,0.006518982207331781
