column,dtype,n_unique,missing_count,missing_pct
Type,object,4,0,0.0
Days for shipping (real),int64,7,0,0.0
Days for shipment (scheduled),int64,4,0,0.0
Benefit per order,float64,21998,0,0.0
Sales per customer,float64,2927,0,0.0
Delivery Status,object,4,0,0.0
Late_delivery_risk,int64,2,0,0.0
Category Id,int64,51,0,0.0
Category Name,object,50,0,0.0
Customer City,object,563,0,0.0
Customer Country,object,2,0,0.0
Customer Email,object,1,0,0.0
Customer Fname,object,782,0,0.0
Customer Id,int64,20652,0,0.0
Customer Lname,object,1109,8,0.0044316664727812585
Customer Password,object,1,0,0.0
Customer Segment,object,3,0,0.0
Customer State,object,46,0,0.0
Customer Street,object,7458,0,0.0
Customer Zipcode,float64,995,3,0.001661874927292972
Department Id,int64,11,0,0.0
Department Name,object,11,0,0.0
Latitude,float64,11250,0,0.0
Longitude,float64,4487,0,0.0
Market,object,5,0,0.0
Order City,object,3597,0,0.0
Order Country,object,164,0,0.0
Order Customer Id,int64,20652,0,0.0
order date (DateOrders),object,65752,0,0.0
Order Id,int64,65752,0,0.0
Order Item Cardprod Id,int64,118,0,0.0
Order Item Discount,float64,1017,0,0.0
Order Item Discount Rate,float64,18,0,0.0
Order Item Id,int64,180519,0,0.0
Order Item Product Price,float64,75,0,0.0
Order Item Profit Ratio,float64,162,0,0.0
Order Item Quantity,int64,5,0,0.0
Sales,float64,193,0,0.0
Order Item Total,float64,2927,0,0.0
Order Profit Per Order,float64,21998,0,0.0
Order Region,object,23,0,0.0
Order State,object,1089,0,0.0
Order Status,object,9,0,0.0
Order Zipcode,float64,609,155679,86.23967560201419
Product Card Id,int64,118,0,0.0
Product Category Id,int64,51,0,0.0
Product Description,float64,0,180519,100.0
Product Image,object,118,0,0.0
Product Name,object,118,0,0.0
Product Price,float64,75,0,0.0
Product Status,int64,1,0,0.0
shipping date (DateOrders),object,63701,0,0.0
Shipping Mode,object,4,0,0.0
fraud,int64,2,0,0.0
